Sequence Length,Hidden State Sizes,Test Loss,Test Accuracy
30,30,2.1842572689056396,0.5415560007095337
30,60,2.2378036975860596,0.5572225451469421
30,90,2.3068597316741943,0.5610727667808533
90,30,1.3889610767364502,0.6972915530204773
90,60,1.4027825593948364,0.7141529321670532
90,90,1.3682663440704346,0.7270313501358032
120,30,1.2871657609939575,0.720658540725708
120,60,1.2787375450134277,0.7379181981086731
120,90,1.3075785636901855,0.7494689226150513
